ID,ALIAS,Required Hours,RATIO
0,NovaSphere,5.0,4
1,Zenith_Dynamics,5.0,4
2,StellarEdge,5.0,0
3,CrimsonPeak,5.0,0
4,QuantumStream,5.0,0
5,ApexHorizon_Corp,7.0,0
6,Silverline,9.0,0
7,Emberglow,7.5,3
8,TitanForge,7.5,0
9,BlueCascade,7.5,3
10,RadiantTrail,7.0,0
11,OrbitEra,7.0,0
12,SwiftPine_Logistics,7.0,0
13,IronCrest_Group,7.0,0
14,Ecolume_Systems,7.0,0
15,OmniWave_Holdings,7.25,4
16,LunarPath_Entreprises,7.25,4
17,BoldCove,7.5,8
18,MiragePoint,7.5,5
19,InfiniteBloom,7.5,5
20,PrismArc,8.0,5
21,VentureVista,8.0,5
22,SolarFlare,7.5,9
23,UrbanPeak,7.5,4
24,ThunderGate,7.5,4
25,NexusForge,7.5,4
26,ClearStream,4.0,1
27,ElectroLoom,7.5,3
28,FireHaven,7.5,3
29,AquaNova,7.5,6
30,EmeraldSky,7.5,0
31,StratusEdge,7.5,4
32,TrailBlaze,7.5,4
33,VelocityWave,7.5,4
34,AmberLight,7.5,4
35,ZenithPinnacle_Corp,7.5,4
36,HorizonDrift,7.5,4
37,SolarCrest_Systems,7.5,4
38,CloudStream_Enterprises,7.5,4
39,CrimsonTrail_Solutions,7.5,4
40,NeoGlow_Ventures,7.5,4
41,Tech_Systems,7.5,4
